Unnamed: 0,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
42648,2,306.92,80.44745,15.05742,4.678,316.0,301.0,100002,0,17,3
42780,2,301.64,89.10017,15.90692,2.15274,316.0,301.0,100002,0,18,3
42240,2,311.8,59.72872,36.06445,2.21616,316.0,301.0,100002,0,12,7
42308,2,314.8,41.04224,40.09133,4.97323,316.0,301.0,100002,0,8,8
42372,2,312.24,58.53671,36.17291,3.99819,316.0,301.0,100002,0,12,7
42569,2,310.08,61.29621,22.68535,3.64315,316.0,301.0,100002,0,13,4
42303,2,315.0,39.14017,40.50845,3.75922,316.0,301.0,100002,0,8,8
42736,2,303.4,87.58797,28.14163,6.49998,316.0,301.0,100002,0,18,5
42630,2,307.64,80.33772,13.30854,4.93378,316.0,301.0,100002,0,17,2
42599,2,308.88,67.37487,12.15942,2.71957,316.0,301.0,100002,0,14,2
42201,2,313.36,51.92311,38.89916,3.21955,316.0,301.0,100002,0,11,7
42410,2,310.72,59.97264,30.83253,3.32581,316.0,301.0,100002,0,12,6
42410,2,310.72,59.97264,30.83253,3.32581,316.0,301.0,100002,0,12,6
42381,2,311.88,59.5798,36.35913,1.0328,316.0,301.0,100002,0,12,7
42408,2,310.8,59.76248,31.82379,3.62848,316.0,301.0,100002,0,12,6
42586,2,309.4,68.51189,20.07265,4.76552,316.0,301.0,100002,0,14,4
42240,2,311.8,59.72872,36.06445,2.21616,316.0,301.0,100002,0,12,7
42182,2,314.12,46.04738,39.32444,3.30983,316.0,301.0,100002,0,9,7
42451,2,314.8,41.04224,40.09133,4.97323,316.0,301.0,100002,0,8,8
42494,2,313.08,55.15267,37.64877,3.91108,316.0,301.0,100002,0,11,7
42378,2,312.0,59.80821,35.96603,1.35525,316.0,301.0,100002,0,12,7
42207,2,313.12,54.76009,37.80206,4.10917,316.0,301.0,100002,0,11,7
42726,2,303.8,89.02413,28.22632,5.95535,316.0,301.0,100002,0,18,5
42647,2,306.96,80.47196,15.15219,4.6742,316.0,301.0,100002,0,17,3
42614,2,308.28,76.71976,12.58309,0.6845,316.0,301.0,100002,0,16,2
42198,2,313.48,52.31394,38.21291,2.54492,316.0,301.0,100002,0,11,7
42740,2,303.24,89.03121,25.42877,5.2602,316.0,301.0,100002,0,18,5
42239,2,311.84,59.72622,36.18883,1.6188,316.0,301.0,100002,0,12,7
42220,2,312.6,56.60689,36.80993,3.13828,316.0,301.0,100002,0,12,7
42338,2,313.6,51.70817,38.18573,1.24845,316.0,301.0,100002,0,11,7
42298,2,315.2,37.18075,40.76895,1.18323,316.0,301.0,100002,0,7,8
42336,2,313.68,51.3385,38.43193,0.64583,316.0,301.0,100002,0,10,7
42219,2,312.64,56.47494,37.07334,2.25751,316.0,301.0,100002,0,12,7
42683,2,305.52,80.96457,19.2016,1.76358,316.0,301.0,100002,0,17,3
42352,2,313.04,55.56565,37.60149,3.53813,316.0,301.0,100002,0,11,7
42601,2,308.8,67.26351,11.80312,3.10366,316.0,301.0,100002,0,14,2
42674,2,305.88,81.37892,17.79256,3.91057,316.0,301.0,100002,0,17,3
42621,2,308.0,79.9169,13.19757,3.4806,316.0,301.0,100002,0,17,2
42701,2,304.8,83.0946,24.11649,5.53955,316.0,301.0,100002,0,17,4
42431,2,315.6,31.35833,41.51018,4.15593,316.0,301.0,100002,0,6,8
42149,2,315.44,33.47029,41.62091,3.8374,316.0,301.0,100002,0,7,8
5411,1,522.2,61.54412,46.40684,3.16511,525.0,517.0,100003,1,13,9
5735,1,517.24,91.97817,31.95484,2.15402,525.0,517.0,100003,1,19,6
5153,1,524.52,55.68069,46.23089,3.9626,525.0,517.0,100003,1,11,9
5337,1,517.16,92.12968,32.30445,2.76349,525.0,517.0,100003,1,19,6
5609,1,522.28,61.0677,46.36669,3.93673,525.0,517.0,100003,1,12,9
5654,1,520.48,83.6095,26.36891,11.74509,525.0,517.0,100003,1,17,5
5232,1,521.36,67.20169,42.35796,8.10098,525.0,517.0,100003,1,14,8
5545,1,524.84,53.6861,45.48346,3.87725,525.0,517.0,100003,1,11,9
5249,1,520.68,80.0588,30.0976,13.02273,525.0,517.0,100003,1,17,6
5716,1,518.0,90.90376,29.90901,5.96041,525.0,517.0,100003,1,19,5
5739,1,517.08,92.16512,32.41612,3.38093,525.0,517.0,100003,1,19,6
5366,1,524.0,57.84609,46.08771,4.30542,525.0,517.0,100003,1,12,9
5157,1,524.36,56.31623,46.22442,4.04103,525.0,517.0,100003,1,11,9
5674,1,519.68,88.64421,23.69446,3.52423,525.0,517.0,100003,1,18,4
5628,1,521.52,65.33717,45.04431,4.55508,525.0,517.0,100003,1,13,9
5724,1,517.68,91.21116,31.09429,4.35599,525.0,517.0,100003,1,19,6
5521,1,517.8,91.05062,30.62844,5.13722,525.0,517.0,100003,1,19,6
5465,1,520.04,86.94073,22.81185,7.60527,525.0,517.0,100003,1,18,4
5499,1,518.68,88.68695,28.85794,2.00074,525.0,517.0,100003,1,18,5
5288,1,519.12,88.82829,25.5052,9.09645,525.0,517.0,100003,1,18,5
5710,1,518.24,90.42084,29.73551,5.46931,525.0,517.0,100003,1,19,5
5724,1,517.68,91.21116,31.09429,4.35599,525.0,517.0,100003,1,19,6
5079,1,524.32,56.4788,46.21967,4.06421,525.0,517.0,100003,1,12,9
5465,1,520.04,86.94073,22.81185,7.60527,525.0,517.0,100003,1,18,4
5567,1,523.96,58.02663,46.05477,4.34294,525.0,517.0,100003,1,12,9
5703,1,518.52,89.82734,29.03065,2.69364,525.0,517.0,100003,1,19,5
5533,1,517.32,91.83747,31.74113,1.39728,525.0,517.0,100003,1,19,6
5474,1,519.68,88.64421,23.69446,3.52423,525.0,517.0,100003,1,18,4
5637,1,521.16,71.20667,39.08707,10.85218,525.0,517.0,100003,1,15,7
5615,1,522.04,62.70831,46.06942,1.73907,525.0,517.0,100003,1,13,9
5292,1,518.96,88.83925,25.67651,7.62168,525.0,517.0,100003,1,18,5
5292,1,518.96,88.83925,25.67651,7.62168,525.0,517.0,100003,1,18,5
5145,1,524.84,53.6861,45.48346,3.87725,525.0,517.0,100003,1,11,9
